fonetics	derivation	lexico-semantic field	other
22.727272727272727	11.363636363636363	29.545454545454547	36.36363636363637
19.607843137254903	5.88235294117647	31.372549019607842	43.13725490196079
9.615384615384617	1.9230769230769231	19.230769230769234	69.23076923076923
25.454545454545453	1.8181818181818181	12.727272727272727	60.0
8.333333333333332	2.083333333333333	18.75	70.83333333333334
5.555555555555555	2.7777777777777777	41.66666666666667	50.0
3.6363636363636362	1.8181818181818181	30.909090909090907	63.63636363636363
5.555555555555555	0.0	33.33333333333333	61.111111111111114
25.0	0.0	13.88888888888889	61.111111111111114
4.081632653061225	0.0	20.408163265306122	75.51020408163265
11.538461538461538	7.6923076923076925	30.76923076923077	50.0
9.803921568627452	13.725490196078432	45.09803921568628	31.372549019607842
24.137931034482758	20.689655172413794	15.517241379310345	39.6551724137931
6.0	0.0	30.0	64.0
22.916666666666664	22.916666666666664	6.25	47.91666666666667
0.0	0.0	11.363636363636363	88.63636363636364
8.108108108108109	41.891891891891895	14.864864864864865	35.13513513513514
9.523809523809524	2.380952380952381	11.904761904761903	76.19047619047619
25.0	0.0	8.333333333333332	66.66666666666666
15.384615384615385	0.0	32.69230769230769	51.92307692307693
22.0	0.0	26.0	52.0
1.6666666666666667	3.3333333333333335	23.333333333333332	71.66666666666667
14.285714285714285	17.46031746031746	22.22222222222222	46.03174603174603
1.7543859649122806	0.0	40.35087719298245	57.89473684210527
29.411764705882355	0.0	17.647058823529413	52.94117647058824
10.714285714285714	14.285714285714285	12.5	62.5
8.108108108108109	8.108108108108109	13.513513513513514	70.27027027027027
4.651162790697675	16.27906976744186	6.976744186046512	72.09302325581395
5.405405405405405	8.108108108108109	18.91891891891892	67.56756756756756
0.0	0.0	13.88888888888889	86.11111111111111
10.0	8.0	14.000000000000002	68.0
11.428571428571429	0.0	20.0	68.57142857142857
12.5	12.5	19.642857142857142	55.35714285714286
0.0	20.0	11.428571428571429	68.57142857142857
8.333333333333332	5.555555555555555	22.22222222222222	63.888888888888886
8.333333333333332	4.166666666666666	25.0	62.5
6.976744186046512	0.0	13.953488372093023	79.06976744186046
4.444444444444445	4.444444444444445	17.77777777777778	73.33333333333333
2.0408163265306123	10.204081632653061	14.285714285714285	73.46938775510205
2.631578947368421	2.631578947368421	15.789473684210526	78.94736842105263
14.000000000000002	2.0	22.0	62.0
8.333333333333332	2.7777777777777777	8.333333333333332	80.55555555555556
4.25531914893617	14.893617021276595	8.51063829787234	72.3404255319149
0.0	7.5	15.0	77.5
4.651162790697675	4.651162790697675	16.27906976744186	74.4186046511628
3.9215686274509802	1.9607843137254901	15.686274509803921	78.43137254901961
16.9811320754717	16.9811320754717	22.641509433962266	43.39622641509434
20.0	2.857142857142857	17.142857142857142	60.0
2.7027027027027026	13.513513513513514	16.216216216216218	67.56756756756756
7.5	5.0	20.0	67.5
12.903225806451612	11.29032258064516	16.129032258064516	59.67741935483871
10.0	10.0	17.5	62.5
