Variable;type/group;Expected mean diffs are normal distributed;mean;std;median;Q1;Q3
Fraction of S1;students;True;7.54;5.13;7.5;4.35;10.91
Fraction of S1;senior academics;True;13.24;9.11;9.8;5.56;22.73
Fraction of S2;students;False;7.52;5.36;7.5;2.82;11.36
Fraction of S2;senior academics;False;6.31;10.14;1.92;0.0;7.69
Fraction of S3;students;True;16.28;4.35;16.67;13.92;18.61
Fraction of S3;senior academics;True;23.53;10.72;22.22;14.86;30.91
Fraction of S4;students;True;68.66;8.9;70.27;62.5;73.94
Fraction of S4;senior academics;True;56.92;14.32;57.89;47.92;66.67
Pause duration of S1;students;False;1.74;1.89;1.27;0.57;2.13
Pause duration of S1;senior academics;False;2.6;3.88;1.59;0.9;2.64
Pause duration of S2;students;True;2.04;3.47;0.96;0.3;1.64
Pause duration of S2;senior academics;True;1.03;1.37;0.66;0.15;1.24
Pause duration of S3;students;False;1.87;2.14;1.13;0.42;2.42
Pause duration of S3;senior academics;False;1.96;2.3;1.31;0.73;2.29
Pause duration of S4;students;True;3.2;3.16;2.36;1.18;4.12
Pause duration of S4;senior academics;True;3.08;2.98;2.35;1.33;3.94
Word frequency of S1;students;True;57.33;76.3;16.15;3.65;82.6
Word frequency of S1;senior academics;True;52.85;76.41;10.85;1.68;76.88
Word frequency of S2;students;True;46.81;63.05;15.15;4.92;63.4
Word frequency of S2;senior academics;True;29.63;53.52;4.05;1.2;31.62
Word frequency of S3;students;True;72.22;81.85;38.5;4.0;115.0
Word frequency of S3;senior academics;True;60.24;78.33;17.85;3.3;93.98
Word frequency of S4;students;True;59.26;73.6;19.5;4.5;88.2
Word frequency of S4;senior academics;True;49.43;69.21;14.7;3.2;60.3
Mean reaction time;students;True;0.58;0.14;0.54;0.49;0.62
Mean reaction time;senior academics;True;0.65;0.15;0.6;0.56;0.71
Reaction time;students;True;0.55;0.14;0.52;0.45;0.62
Reaction time;senior academics;True;0.61;0.15;0.58;0.5;0.68
